name;address;$rel_CategoryAgency_label_category;$rel_Department_code_department;latitude;longitude
MARSEILLE-15E--ARRONDISSEMENT;18 Rue Serge Douriant 13015 Marseille;Downtown;13;43.358794754;5.363407897
MARSEILLE--1ER-ARRONDISSEMENT;5 Rue Villeneuve 13001 Marseille;Downtown;13;43.2999009436;5.38227869795
GRASSE;10 Route de Saint Mathieu 06130 Grasse;Downtown;6;43.655639428;6.93190508233
FREJUS;2697 Route de Cannes 83600 Fréjus;Downtown;83;43.4719558114;6.76361597424
QUIMPER;Rue du Docteur Bablet 29000 Quimper;Downtown;29;47.9971425162;-4.09111944455
BELFORT;1 Rue Louis Lacaille 90000 Belfort;Downtown;90;47.6471539414;6.84541206237
VIRY-CHATILLON;16 Rue Horace de Choiseul 91170 Viry-Châtillon;Downtown;91;48.6696168935;2.37374357641
CHATEAUROUX;30 Rue Passageon 36000 Châteauroux;Downtown;36;46.8029617828;1.69399812001
PAU;184 Boulevard de la Paix 64000 Pau;Downtown;64;43.3200189773;-0.350337918181
SAINTE-MARIE;9 Chemin Madore 97438 Sainte-Marie;Downtown;974;-20.9470588515;55.5303555863
NEUILLY-SUR-MARNE;15 Avenue de Blancheville 93330 Neuilly-sur-Marne;Downtown;93;48.8624578581;2.54000288785
CAEN;13 Rue Leverrier 14000 Caen;Downtown;14;49.1847936737;-0.369801713036
BREST;7 Rue de Kergoat 29200 Brest;Downtown;29;48.4004997828;-4.5027907853
AULNAY-SOUS-BOIS;5 Rue Blanche 93600 Aulnay-sous-Bois;Downtown;93;48.9458384367;2.49329041687
SAINT-PAUL;157 Chemin Feoga 1 97423 Saint-Paul;Downtown;974;-21.0445317522;55.3223334298
MONTPELLIER;1 Rue Magnol 34000 Montpellier;Downtown;34;43.6134409138;3.86851657896
FONTENAY-SOUS-BOIS;19 Rue Paul Bert 94120 Fontenay-sous-Bois;Downtown;94;48.8511046382;2.47395409774
ALFORTVILLE;1 Rue de l’Ecluse 94140 Alfortville;Downtown;94;48.7960843864;2.42124593241
WATTRELOS;32 Rue de l’Abattoir 59150 Wattrelos;Downtown;59;50.7056367285;3.21628221056
TREMBLAY-EN-FRANCE;29 Allée de la Sente d’Amour 93290 Tremblay-en-France;Downtown;93;48.9784304121;2.55468501543
