name;address;$rel_CategoryAgency_label_category;$rel_Department_code_department;latitude;longitude
GARE D'EPINAY VILLETANEUSE;Route de Saint-Leu 93800 Villetaneuse;Train Station;93;48.9583799869;2.32884820025
GARE D'ERMONT EAUBONNE;2 Rue de l'Arrivée, 95120 Ermont;Train Station;95;48.9806576563;2.27103879067
GARE D'EVRY COURCOURONNES;Place des droits de L'homme 91000 Evry;Train Station;91;48.6257123657;2.42872870052
GARE DE GAGNY;Place de Verdun 93220 Gagny;Train Station;93;48.8832783553;2.52678071322
GARE DE HERBLAY;Place Gabriel Peri 95220 Herblay;Train Station;95;48.9903516533;2.16198853167
INVALIDES;2, Rue Esnault Pelterie 75007 Paris;Train Station;75;48.8623692316;2.31259955332
GARE DE JUVISY;Place banette et planchon 91260 Juvisy-sur-Orge;Train Station;91;48.6894695504;2.38321063154
GARE DE LA GARENNE COLOMBES;8 Rue de l'Arrivée, 92250 La Garenne-Colombes;Train Station;92;48.9094340652;2.23992160213
GARE DE LA PLAINE STADE DE FRANCE;Av du Stade de France, 93210 La Plaine Saint Denis.;Train Station;93;48.9182603833;2.36264549454
GARE DE LIEUSAINT MOISSY;Gare SNCF 77127 Lieusaint;Train Station;77;48.6284764876;2.57006099644
GARE D'ARGENTEUIL;Place Pierre Sémard 95100 Argenteuil;Train Station;95;48.94700319;2.25717871305
GARE DE MAISONS ALFORT ALFORTVILLE;1 Place Jean Moulin 94149 Maison Alfort;Train Station;94;48.8020043888;2.42663105501
GARE DE MANTES LA JOLIE;Place du 8 Mai 1945 78200 Mantes la Jolie;Train Station;78;48.9896873515;1.7032941813
GARE DE MELUN;Place de Gallini 77000 Melun;Train Station;77;48.5275966344;2.65539176037
GARE DE MONTIGNY BEAUCHAMP;Place de la Gare, 95370 Montigny Les Cormeilles;Train Station;95;49.0075447708;2.19773281432
MUSEE D ORSAY;7, Quai Anatole France 75007 Paris;Train Station;75;48.8592617784;2.327951672
GARE DE BRUNOY;Rue de la Gare 91800 Evry;Train Station;91;48.6990474124;2.50656952687
GARE DE BERCY;48 bis Boulevard de Bercy, 75012 Paris;Train Station;75;48.8397147738;2.38244508142
GARE DE CERGY LE HAUT;Rue de l'Espérance;Train Station;95;49.0485388268;2.01227395158
GARE DE PIERREFITTE STAINS;1 Place du Général Leclerc 93380 Pierrefite sur Seine;Train Station;93;48.9641176453;2.37218092579
PONT CARDINET;145 Rue Cardinet 75017 Paris;Train Station;75;48.8875699026;2.31401853193
GARE DE CRETEIL POMPADOUR;Chemin des Bœufs;Train Station;94;48.771705;2.435188
GARE D'EMERAINVILLE PONTAULT COMBAULT;2 avenue de la gare 77184 Emerainville;Train Station;77;48.8060035996;2.61771918549
GARE D'ETAMPES;Place du Général Leclerc 91150 Etampes;Train Station;91;48.4367952365;2.15947993947
ST MICHEL ND RER C;Quai Saint Michel 75005 Paris;Train Station;75;48.8534830378;2.34386002975
GARE DE ST QUENTIN EN YVELINES;Place Charles de Gaulle 78180 Montigny le Bretonneux;Train Station;78;48.7879626643;2.04468643564
GARE DE GARGES SARCELLES;Boulevard Maurice Thorez 95140 Garges les Gonesses;Train Station;95;48.976925667;2.39068772914
GARE DE SARCELLES ST BRICE;Boulevard du Docteur Galvani / Place de la Gare;Train Station;95;48.9952928969;2.36844640671
GARE DE GRIGNY CENTRE;Route de Corbeil 91350 Grigny centre;Train Station;91;48.6535538719;2.39606757755
GARE DE HOUILLES CARRIERES SUR SEINE;Place André Malraux (Rond point);Train Station;78;48.9208344027;2.18450665388
GARE DE LA DEFENSE;Rue Carpeaux - 92800 Puteaux;Train Station;92;48.8934895769;2.23827508094
GARE DE VIGNEUX SUR SEINE;Place Robert Lakota 91270 Vigneux Sur Seine;Train Station;91;48.708293361;2.41443702418
GARE DE BLANC MESNIL;Rue Pierre Semard, 93150, Le Blanc Mesnil;Train Station;93;48.9324610128;2.47737901135
GARE DE MASSY PALAISEAU RER C;6, Place Pierre Sémard 91300 Massy;Train Station;91;48.7249016766;2.25659692368
GARE DE MEAUX;Place de la gare 77100 Meaux;Train Station;77;48.9574880158;2.87398151191
PEREIRE LEVALLOIS;4 bis, Place du Maréchal Juin 75017 Paris;Train Station;75;48.8854627647;2.29821136122
PONT DE L ALMA;Place de la Résistance 75007 Paris;Train Station;75;48.8620519436;2.30178420665
GARE DE ROSA PARKS;Rue Gaston Tessier;Train Station;75;48.8965;2.37345
GARE DE ROSNY BOIS PERRIER;Rue Léon Blum 93110 Rosny sous bois;Train Station;93;48.8827036731;2.48149612336
GARE DE STE GENEVIEVE DES BOIS;Place de la Gare 91700 Sainte-Genevi√®ve-des-Bois;Train Station;91;48.6530895138;2.3127529
GARE DE ST MICHEL SUR ORGE;Rue Anatole France 91240 Saint-Michel-sur-Orge;Train Station;91;48.6353259804;2.30660399448
GARE DE SEVRAN BEAUDOTTES;Avenue Raoul Dautry, 93270 Sevran;Train Station;93;48.9476830486;2.524451401
GARE DE SURESNES MONT VALERIEN;Rue Worth 92150 Suresnes;Train Station;92;48.8717069629;2.22110944905
GARE DE TRAPPES;Avenue Gabriel Péri 78 190 Trappes;Train Station;78;48.7750462311;2.00670966763
GARE DE VERSAILLES RIVE GAUCHE;5, Avenue du Général De Gaulle 78000 Versailles;Train Station;78;48.8000745093;2.12808696641
GARE DE YERRES;Place de la Gare 91330 Yerres;Train Station;91;48.7067634252;2.48337131052
BOULAINVILLIERS;52, Rue des Vignes 75016 Paris;Train Station;75;48.8571247692;2.27486035986
GARE DE CHOISY LE ROI;Avenue du 8 mai 45 94600 Choisy-le-Roi;Train Station;94;48.7646791205;2.41097222313
GARE DE COURBEVOIE;Rue de Sébastopol 92400 Courbevoie;Train Station;92;48.8982514361;2.24797129852
GARE DE DRANCY;193, Rue Anatole France, 93700 Drancy;Train Station;93;48.9328715049;2.45513299027
GARE DE FRANCONVILLE LE PLESSIS BOUCHARD;Place de la gare 95130 Franconville;Train Station;95;48.9932769106;2.23584452688
GARE DE GOUSSAINVILLE;Place du 8 mai 1945 95190 Goussainvilles;Train Station;95;49.024067636;2.4631569019
GARE DE LA COURNEUVE AUBERVILLIERS;Av Victor Hugo, 93120 La Courneuve;Train Station;93;48.9237716573;2.38465954977
GARE DE LA VERRIERE;Avenue Guy Schuler 78320 La Verri√®res;Train Station;78;48.7555931459;1.943839859
GARE DU BOURGET;Place des Déportés, 93350 Le Bourget;Train Station;93;48.9308838397;2.42577594169
GARE DU RAINCY VILLEMOMBLE;Cour de la gare 93340 Le Raincy;Train Station;93;48.8892773749;2.51205637004
GARE DES VALLEES;Place des la gare des Vallées 92250 La Garenne Colombes;Train Station;92;48.9134465868;2.25785779479
GARE DE MONTGERON CROSNE;Place Joseph Piette;Train Station;91;48.7080369018;2.46228325227
GARE DE L EST;Place 11 Novembre 1918, 75010 Paris;Train Station;75;48.8767766066;2.358414927
PORTE DE CLICHY;190 ter, Avenue de Clichy 75017 Paris;Train Station;75;48.8940677111;2.31441088724
GARE DE RAMBOUILLET;1 Place Fernand Prudhomme 78120 Rambouillet;Train Station;78;48.6437876582;1.83120236411
GARE DE ROSNY SOUS BOIS;1 place des Martyrs de la Résistance 93110 ROSNY-SOUS-BOIS;Train Station;93;48.8707365481;2.48559085409
GARE DE SANNOIS;Place Salvador Allende 95110 Sannois;Train Station;95;48.970013299;2.26372238519
GARE DE SAVIGNY LE TEMPLE NANDY;Avenue Jean Moulin 77547 Savigny le Temple;Train Station;77;48.5954687946;2.5831402916
GARE DE SEVRAN LIVRY;1, Place de la gare, 93270 Sevran;Train Station;93;48.9360642047;2.53489935862
GARE DE STADE DE FRANCE ST DENIS;Place aux Etoiles 93200 St Denis;Train Station;93;48.9175433405;2.35095898431
GARE DE VAL D ARGENTEUIL;Boulevard de la Résistance 95100 Argenteuil;Train Station;95;48.9503798452;2.23111195402
GARE DE VERSAILLES RIVE DROITE;40, Rue du Maréchal Foch 78000 Versailles;Train Station;78;48.8096143342;2.1354511829
GARE DE VILLENEUVE ST GEORGES;Place Pierre Sémart 94190 Villeneuve St Georges;Train Station;94;48.7299751663;2.44656156169
GARE DE VILLEPARISIS MITRY LE NEUF;2, Place du 19 Mars 1962, 77290 Mitry Le Neuf;Train Station;77;48.953250388;2.60263346127
GARE DE VILLIERS LE BEL GONESSE ARNOUVILLE;1 Place Général Leclerc 95400 Villilers le Bel;Train Station;95;48.9941925925;2.41607904161
GARE DE VILLIERS SUR MARNE PLESSIS TREVISE;place Pierre Sémard 94350 VILLIERS-SUR-MARNE;Train Station;94;48.8231802547;2.54232320839
GARE D'ACHERES VILLE;Rue du Moulin (depuis N186);Train Station;78;48.9700946335;2.07739969014
AEROPORT CDG 1;4 Rue du Versau, 93290 Tremblay en France;Train Station;93;49.0097447522;2.56069879391
GARE DE BOUSSY ST ANTOINE;Rue de la Gare 91800;Train Station;91;48.6809756297;2.53296680371
GARE DE BRETIGNY;Place Pierre Venin 91220 Brétigny-sur-Org;Train Station;91;48.6066856038;2.3023104096
CHATELET LES HALLES;Forum des Halles, Paris;Train Station;75;48.8575990354;2.34741546883
GARE DE CORBEIL ESSONNES;Place Henri Barbusse 91100 Corbeil Essonnes;Train Station;91;48.6141179308;2.47389296086
GARE DE CORMEILLES EN PARISIS;1 Place Pierre Sémard 95240 Cormeilles en Parisis;Train Station;95;48.9686551718;2.19337424669
GARE DE DEUIL MONTMAGNY;Avenue du Commandant Manoukian;Train Station;95;48.975805318;2.33774613332
GARE D'EPINAY SUR SEINE;Place de la Nouvelle Gare, 93800 Epinay-sur-Seine;Train Station;93;48.9541604559;2.30247161058
GARE DE FONTENAY LE FLEURY;Rue Georges Pompidou - D127 78330 Fontenay le Fleury;Train Station;78;48.8073664634;2.04060376202
HAUSSMANN ST LAZARE;13 Rue d'Amsterdam 75008 Paris;Train Station;75;48.8735337311;2.32824885164
GARE D'IVRY SUR SEINE;Place Marcel Cachin 94200 Ivry-sur-Seine;Train Station;94;48.8143839943;2.39106475934
GARE DE LAGNY THORIGNY;2 rue de la gare 77400 Thorigny-sur-Marne;Train Station;77;48.8820106403;2.70410248006
MAGENTA;160 rue La Fayette 75010 Paris;Train Station;75;48.8794550031;2.35732593188
GARE DE MAISONS LAFFITTE;Place de la Libération par l'avenue du Général De Gaulle;Train Station;78;48.9459130297;2.14464783894
GARE DE NANTERRE UNIVERSITE;33 Boulevard des Provinces Fran√ßaises 92000 Nanterre;Train Station;92;48.9015475909;2.21516720292
NEUILLY PORTE MAILLOT;82, Avenue de la Grande Armée 75017 Paris;Train Station;75;48.8776642848;2.28174383914
GARE DE NOISY LE SEC;Rue de la gare 93130 Noisy le sec;Train Station;93;48.896702921;2.45993049229
GARE ST LAZARE;13 Rue d'Amsterdam, 75008 Paris;Train Station;75;48.875357836;2.32473327749
GARE DE PONTOISE;Place du général de Gaulle 95300 Pontoise;Train Station;95;49.047019384;2.09533109205
GARE DE PUTEAUX;2 Rue Ferdinand Pelloutier 92800 Puteaux;Train Station;92;48.8834917758;2.2335382863
GARE DE ST CLOUD;42 Rue Dailly 92210 Saint Cloud;Train Station;92;48.8443540357;2.21690859829
GARE DE ST DENIS;Rue Ambroise Croizat 93200 St Denis;Train Station;93;48.9347897043;2.34599834644
GARE DE SARTROUVILLE;Places des fusillés par la rue Lamartine;Train Station;78;48.9377726159;2.15721464809
GARE DE VAL DE FONTENAY;10 avenue du Val de Fontenay 94120 Fontenay-sous-Bois;Train Station;94;48.8574201112;2.49041522851
GARE DE VERSAILLES CHANTIERS;4 Rue de l'Abbé Rousseau 78000 Versailles;Train Station;78;48.7955663445;2.13546496397
GARE DE VERT GALANT;3, Place de la Gare, 93420 Villepinte;Train Station;93;48.944589686;2.56672079041
GARE DE VIROFLAY RIVE GAUCHE;1 Rue Riesseuc 78220 Viroflay;Train Station;78;48.8009065351;2.17125395986
GARE DE VITRY SUR SEINE;Cour de la Gare 94400 Vitry-sur-Seine;Train Station;94;48.800528137;2.40241090458
BOBIGNY;158 Avenue Jean Jaures 93000 Bobigny;Downtown;93;48.907688244;2.43863982727
PARIS-10E-ARRONDISSEMENT;8 Avenue de Verdun 75010 Paris;Downtown;75;48.8760285569;2.36111290456
RUEIL-MALMAISON;11 Impasse du Docteur Roux 92500 Rueil-Malmaison;Downtown;92;48.8691897371;2.1773406315
PARIS-16E-ARRONDISSEMENT;25 Avenue du Maréchal Maunoury 75016 Paris;Downtown;75;48.8603987604;2.2620995594
LEVALLOIS-PERRET;92 Rue du President Wilson 92300 Levallois-Perret;Downtown;92;48.895071672;2.28688268127
CALUIRE-ET-CUIRE;1 Avenue du Docteur Zamenhof 69300 Caluire-et-Cuire;Downtown;69;45.7974053648;4.85124857101
GRENOBLE;5 Rue Sergent Bobillot 38000 Grenoble;Downtown;38;45.1821215167;5.72133051752
CHATENAY-MALABRY;229 Avenue Jean Jaurès 92290 Châtenay-Malabry;Downtown;92;48.7681690197;2.26282598525
LA CIOTAT;1 Allee de la Grande Bleue 13600 La Ciotat;Downtown;13;43.1926410861;5.61318955778
NARBONNE;61 Chemin de Gleizes 11100 Narbonne;Downtown;11;43.1652399898;3.02023868739
VALENCE;5 Allee Jean Giono 26000 Valence;Downtown;26;44.9229811667;4.91444013136
CHELLES;6 Rue Leo Delibes 77500 Chelles;Downtown;77;48.883962967;2.59686448583
ORLEANS;10 Allee Flandres Dunkerque 45650 Saint-Jean-le-Blanc;Downtown;45;47.8828634214;1.91610357477
CHATILLON;7 Avenue de Verdun 92320 Châtillon;Downtown;92;48.8034091756;2.28799131883
MARSEILLE--7E--ARRONDISSEMENT;70b Rue Michel Gachet 13007 Marseille;Downtown;13;43.28251778;5.36323440435
ASNIERES-SUR-SEINE;2 Allee de Berlin Spandau 92600 Asnières-sur-Seine;Downtown;92;48.9153530123;2.2880384663
LE PERREUX-SUR-MARNE;72 Avenue Georges Clémenceau 94170 Le Perreux-sur-Marne;Downtown;94;48.8423952383;2.50406848573
LE LAMENTIN;18 Residence Casa Granda Bois Carre 97232 Le Lamentin;Downtown;972;14.6247600105;-60.9933549815
MARSEILLE--3E--ARRONDISSEMENT;Marseille 3e Arrondissement;Downtown;13;43.3121200046;5.38010981423
COLOMBES;1 Rue Ampere 92700 Colombes;Downtown;92;48.9225179147;2.24675160629
MARSEILLE-11E--ARRONDISSEMENT;8 Montée Commandant de Robien 13011 Marseille;Downtown;13;43.2884471881;5.48381466229
BESANCON;24 Rue du Tunnel 25000 Besançon;Downtown;25;47.2553872249;6.01948696494
VALENCIENNES;1 Rue Adolphe Lacuzon 59300 Valenciennes;Downtown;59;50.3588666163;3.51567664819
PARIS-9E-ARRONDISSEMENT;20 Rue Saint-Lazare 75009 Paris;Downtown;75;48.8768961624;2.33746024139
CLERMONT-FERRAND;49 Rue du Pre la Reine 63100 Clermont-Ferrand;Downtown;63;45.7856492991;3.11554542903
PESSAC;20 Rue de Monterey 33600 Pessac;Downtown;33;44.7915990521;-0.676303166277
DUNKERQUE;11 Rue Marquant 59140 Dunkerque;Downtown;59;51.0307229078;2.33752414095
VANDOEUVRE-LES-NANCY;47b Rue de Villers 54500 Vandœuvre-lès-Nancy;Downtown;54;48.6579999356;6.16531229307
GAP;21 Chemin des Gontiers 05000 Gap;Downtown;5;44.5798600596;6.06486052138
LE HAVRE;29 Rue Malherbe 76600 Le Havre;Downtown;76;49.498452502;0.140153719153
LE BLANC-MESNIL;67 Avenue Henri Barbusse 93150 Le Blanc-Mesnil;Downtown;93;48.9395475536;2.46112148528
ANNEMASSE;2a Av de Verdun 74100 Annemasse;Downtown;74;46.1909730986;6.24250704322
TOURCOING;Rue Gabriel Peri 59200 Tourcoing;Downtown;59;50.7254418902;3.15882757215
MONTAUBAN;14 Rue Hoche 82000 Montauban;Downtown;82;44.0222594578;1.36408636501
LYON--4E--ARRONDISSEMENT;28 Rue Henri Gorjus 69004 Lyon;Downtown;69;45.7786867581;4.82396112689
SAINT-MARTIN-D'HERES;64 Rue Albert Samain 38400 Saint-Martin-d'Hères;Downtown;38;45.1762012553;5.76476360737
GAGNY;Gagny;Downtown;93;48.8820763119;2.5449484757
PARIS-15E-ARRONDISSEMENT;1 Rue Cournot 75015 Paris;Downtown;75;48.8401554186;2.29355937244
NIORT;18 Rue de Bessac 79000 Niort;Downtown;79;46.328260242;-0.465353019369
VANNES;Rue de la Coutume 56000 Vannes;Downtown;56;47.6597493766;-2.75714329498
ECHIROLLES;5 Allée François Truffaut 38130 Échirolles;Downtown;38;45.1471647181;5.71535600177
CAGNES-SUR-MER;15 Avenue Jean Mermoz 06800 Cagnes-sur-Mer;Downtown;6;43.6715162078;7.15275703379
HOUILLES;24 Place de l’Eglise 78800 Houilles;Downtown;78;48.9265781359;2.1874640255
SALON-DE-PROVENCE;1011 Chemin des Barettes 13300 Salon-de-Provence;Downtown;13;43.6462885238;5.06814649576
TOURS;32 Avenue André Malraux 37000 Tours;Downtown;37;47.3986382281;0.696526376417
BOURG-EN-BRESSE;19bis Rue de la Croix Blanche 01000 Bourg-en-Bresse;Downtown;1;46.2051520382;5.24602125501
LENS;59ter Route de la Bassée 62300 Lens;Downtown;62;50.4374264148;2.82105851259
JOUE-LES-TOURS;3 Rue des Noisetiers 37300 Joué-lès-Tours;Downtown;37;47.333556074;0.654546300116
CLAMART;Clamart;Downtown;92;48.7964306792;2.25474652922
MONTROUGE;35 Avenue Verdier 92120 Montrouge;Downtown;92;48.8153032159;2.31648921432
MULHOUSE;50 Avenue Aristide Briand 68200 Mulhouse;Downtown;68;47.749163303;7.32570047509
MONTREUIL;35 Rue Pepin 93100 Montreuil;Downtown;93;48.8633175054;2.44816211857
AIX-EN-PROVENCE;1535 Route de Berre 13090 Aix-en-Provence;Downtown;13;43.5360708378;5.39857444582
RENNES;1 Rue de Clisson 35000 Rennes;Downtown;35;48.1119791219;-1.68186449144
CARCASSONNE;3 Rue Léon Bourgeois 11000 Carcassonne;Downtown;11;43.2093798444;2.34398855385
BOULOGNE-BILLANCOURT;116 Rue Gallieni 92100 Boulogne-Billancourt;Downtown;92;48.8365843138;2.23913599058
MARSEILLE-14E--ARRONDISSEMENT;18 Impasse des Etoiles 13014 Marseille;Downtown;13;43.3455018067;5.39408915769
PALAISEAU;44 Allee du Pont des Beaunes 91120 Palaiseau;Downtown;91;48.7146765876;2.22881488083
LE CANNET;8 Avenue Maurice Jeanpierre 06110 Le Cannet;Downtown;6;43.5729768613;7.00642057758
VENISSIEUX;Rue Professeur Calmette 69200 Vénissieux;Downtown;69;45.7037728826;4.88137668221
PARIS-19E-ARRONDISSEMENT;1 Rue de l’Ourcq 75019 Paris;Downtown;75;48.886868623;2.38469432787
PARIS-20E-ARRONDISSEMENT;67a Rue des Prairies 75020 Paris;Downtown;75;48.8631867774;2.40081982673
SAINT-MALO;1 Rue du Clos du Noyer 35400 Saint-Malo;Downtown;35;48.6400443482;-1.98060627256
CANNES;14 Avenue Jean de Noailles 06400 Cannes;Downtown;6;43.5526202843;7.00427592728
CHAMPIGNY-SUR-MARNE;233 Rue de Bernau 94500 Champigny-sur-Marne;Downtown;94;48.817254364;2.51709815257
SARTROUVILLE;8 Rue des Eaux 78500 Sartrouville;Downtown;78;48.9396085498;2.17458686513
MARSEILLE--6E--ARRONDISSEMENT;33 Rue Edmond Rostand 13006 Marseille;Downtown;13;43.2870989546;5.38104785394
NANTERRE;34 Rue Alexandre Dumas 92000 Nanterre;Downtown;92;48.8960701282;2.20671346353
MACON;Place de l’Eglise 71000 Mâcon;Downtown;71;46.3205511756;4.81842529639
BEZIERS;6 Rue Charles Peguy 34500 Béziers;Downtown;34;43.3475883319;3.23076754164
MONTLUCON;47 Boulevard de Courtais 03100 Montluçon;Downtown;3;46.3385883496;2.60390499777
LYON--6E--ARRONDISSEMENT;54 Boulevard des Belges 69006 Lyon;Downtown;69;45.7728507239;4.85207911437
BOULOGNE-SUR-MER;Rue Enseignement Mutuel 62200 Boulogne-sur-Mer;Downtown;62;50.7271332663;1.60756334802
SAINT-LOUIS;49bis Chemin du Bassin Pilon 97450 Saint-Louis;Downtown;974;-21.2339268494;55.4213388686
COLOMIERS;5 Allée du Tourmalet 31770 Colomiers;Downtown;31;43.611551508;1.32700218407
NEVERS;4 Rue du 14 Juillet 58000 Nevers;Downtown;58;46.9881194908;3.15689130958
LIEVIN;62 Rue Henri Martin 62800 Liévin;Downtown;62;50.4242782538;2.77291885384
GENNEVILLIERS;3 Rue Villebois Mareuil 92230 Gennevilliers;Downtown;92;48.9345190548;2.29384987973
TARBES;3 Rue des Cultivateurs 65000 Tarbes;Downtown;65;43.2347859635;0.0660093937851
AGEN;12 Rue Rayssac 47000 Agen;Downtown;47;44.2028139104;0.625583928763
ROMANS-SUR-ISERE;55j Rue Louis le Cardonnel 26100 Romans-sur-Isère;Downtown;26;45.0547531985;5.03797756012
GARGES-LES-GONESSE;4 Rue des Noisetiers 95140 Garges-lès-Gonesse;Downtown;95;48.9701231267;2.40534038501
SAINT-QUENTIN;41 Rue de la Pomme Rouge 02100 Saint-Quentin;Downtown;2;49.8472336321;3.27769499462
LYON--7E--ARRONDISSEMENT;6 Rue de l’Effort 69007 Lyon;Downtown;69;45.7334098415;4.83758495703
ROUBAIX;140 Rue Saint Jean 59100 Roubaix;Downtown;59;50.6879774811;3.18258434623
ALBI;9 Rue du Mail 81000 Albi;Downtown;81;43.9258213622;2.14686328555
BAGNOLET;44 Rue Lenine 93170 Bagnolet;Downtown;93;48.8690836308;2.42274096688
BLOIS;10 Rue Jean de la Bruyere 41000 Blois;Downtown;41;47.5817013938;1.30625551583
LES MUREAUX;55 Avenue Paul Raoult 78130 Les Mureaux;Downtown;78;48.9888041078;1.91363448925
LAVAL;83 Rue d’Avesnieres 53000 Laval;Downtown;53;48.0608565468;-0.766005687142
DOUAI;Chemin Couvert 59500 Douai;Downtown;59;50.3823195335;3.09145683114
MALAKOFF;19 Rue Etienne Dolet 92240 Malakoff;Downtown;92;48.8169695977;2.29693599517
LE MANS;54 Rue Dulcie September 72100 Le Mans;Downtown;72;47.9885256718;0.200030493539
THONON-LES-BAINS;12 R Jean Blanchard 74200 Thonon-les-Bains;Downtown;74;46.3704258049;6.48194336071
LA SEYNE-SUR-MER;231 Chemin du Docteur Reynaud 83500 La Seyne-sur-Mer;Downtown;83;43.0880294967;5.87089841754
VILLENEUVE-D'ASCQ;12 Avenue du Vieux Chateau 59650 Villeneuve-d'Ascq;Downtown;59;50.6324372393;3.1535257221
CHOLET;Boulevard de Richelieu 49300 Cholet;Downtown;49;47.0454402992;-0.877886189605
MONT-DE-MARSAN;31 Avenue Pierre Brossolette 40000 Mont-de-Marsan;Downtown;40;43.899361404;-0.490722577455
BAYONNE;27 Quai Amiral Bergeret 64100 Bayonne;Downtown;64;43.4922254016;-1.46607674358
VILLEFRANCHE-SUR-SAONE;441 Boulevard Pierre Pasquier 69400 Villefranche-sur-Saône;Downtown;69;45.9874596667;4.73174007305
REZE;140 Rue Georges Berthomé 44400 Rezé;Downtown;44;47.1762338904;-1.54966399893
CHARLEVILLE-MEZIERES;9 Rue de Gonzague 08000 Charleville-Mézières;Downtown;8;49.7752965803;4.71724655966
CASTRES;17 Rue Jules Guesde 81100 Castres;Downtown;81;43.6156511237;2.23787231587
PANTIN;6 Chemin Latéral au Chemin de Fer 93500 Pantin;Downtown;93;48.8983093876;2.40872147475
BAGNEUX;16 Avenue Henri Barbusse 92220 Bagneux;Downtown;92;48.7983229866;2.30989995212
VERSAILLES;4 Route de Saint Cyr 78000 Versailles;Downtown;78;48.8025669671;2.11789297191
SURESNES;6 Rue du Tertre 92150 Suresnes;Downtown;92;48.8698479132;2.21965517625
MARSEILLE-13E--ARRONDISSEMENT;36 Traverse des Nodins 13013 Marseille;Downtown;13;43.3492780005;5.43372238738
METZ;16 Rue du Roi Albert 57070 Metz;Downtown;57;49.1081133279;6.1955245421
CERGY;47 Chemin de la Voirie 95000 Cergy;Downtown;95;49.0401131567;2.05082123731
PLAISIR;12bis Rue François Coppée 78370 Plaisir;Downtown;78;48.8126082296;1.94698515715
SAINT-OUEN;39 Boulevard Victor Hugo 93400 Saint-Ouen-sur-Seine;Downtown;93;48.909806575;2.33257042205
PARIS-18E-ARRONDISSEMENT;15 Boulevard Ornano 75018 Paris;Downtown;75;48.8927350746;2.34871193387
TOULOUSE;49 Allées Charles de Fitte 31300 Toulouse;Downtown;31;43.5963814303;1.43167293364
AUBERVILLIERS;23 Avenue de la République 93300 Aubervilliers;Downtown;93;48.9121722626;2.38445513768
MAUBEUGE;44 Res de la Croix Saint Andre 59600 Maubeuge;Downtown;59;50.283630719;3.96328053037
NOISY-LE-GRAND;17 Rue du Docteur Vaillant 93160 Noisy-le-Grand;Downtown;93;48.8361825401;2.56443736814
NICE;167 Route de Saint-Pierre de Féric 06000 Nice;Downtown;6;43.7119992661;7.23826889465
SAINT-HERBLAIN;14 Rue Jacques Cartier 44800 Saint-Herblain;Downtown;44;47.2243762412;-1.63434818692
PARIS-5E-ARRONDISSEMENT;52 Rue Lacépède 75005 Paris;Downtown;75;48.8445086596;2.34985938556
VITRY-SUR-SEINE;98 Rue Camille Groult 94400 Vitry-sur-Seine;Downtown;94;48.7882828307;2.39412680533
LYON--9E--ARRONDISSEMENT;11 Quai de la Gare d’Eau 69009 Lyon;Downtown;69;45.7817805887;4.80818327822
FRANCONVILLE;36 Rue de Taverny 95130 Franconville;Downtown;95;48.9884161105;2.2238932062
MARIGNANE;Residence le Stade 13700 Marignane;Downtown;13;43.4172068362;5.21221904548
ATHIS-MONS;4 Place Henri Deudon 91200 Athis-Mons;Downtown;91;48.7092445775;2.38660492325
CHAMBERY;603 Av du Grand Verger 73000 Chambéry;Downtown;73;45.583182552;5.90903392417
VAULX-EN-VELIN;70 Rue de la République 69120 Vaulx-en-Velin;Downtown;69;45.7858821061;4.92637767698
LE TAMPON;180 Rue Jean de Fos du Rau 97418 Le Tampon;Downtown;974;-21.223274585;55.5584875266
LIVRY-GARGAN;26 Rue Edouard Herriot 93190 Livry-Gargan;Downtown;93;48.9197633213;2.53486592332
MASSY;24 Residence du Parc 91300 Massy;Downtown;91;48.7277896426;2.27513131903
BOURGES;52 Rue de Beaumont 18000 Bourges;Downtown;18;47.0749572013;2.40417137557
ARRAS;Allee du General Schramm 62000 Arras;Downtown;62;50.2898964997;2.76587316711
MARTIGUES;1421 Route des Ventrons 13500 Martigues;Downtown;13;43.3798920489;5.04945402314
LA ROCHELLE;46 Rue du Docteur Henri Dalmon 17000 La Rochelle;Downtown;17;46.1620643972;-1.17465702836
AUXERRE;11 Quai du Batardeau 89000 Auxerre;Downtown;89;47.793488225;3.58168281761
SAVIGNY-SUR-ORGE;12 Rue Edouard Branly 91600 Savigny-sur-Orge;Downtown;91;48.684228392;2.34873862215
MARSEILLE-12E--ARRONDISSEMENT;28 Rue Fourier 13012 Marseille;Downtown;13;43.3077683678;5.43991567678
AUBAGNE;2 Avenue Simon Lagunas 13400 Aubagne;Downtown;13;43.2934843764;5.56331273477
PARIS-11E-ARRONDISSEMENT;9 Avenue Parmentier 75011 Paris;Downtown;75;48.8594154976;2.37874106024
ROUEN;46 Rue du Gros Horloge 76000 Rouen;Downtown;76;49.4413460103;1.09256784278
SAINT-BRIEUC;3 Rue Charbonnerie 22000 Saint-Brieuc;Downtown;22;48.5149806053;-2.76154552773
AMIENS;56 Rue de l’Orée du Bois 80000 Amiens;Downtown;80;49.9009532186;2.29007445539
NANCY;7 Rue Mazagran 54000 Nancy;Downtown;54;48.6901995499;6.17588254434
BORDEAUX;50 Rue Paul Berthelot 33300 Bordeaux;Downtown;33;44.8572445351;-0.57369678116
SEVRAN;Rue Mere Teresa 93270 Sevran;Downtown;93;48.9386070153;2.53124057567
